<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.05.14	00:00:00.651	0.98000	0.98000			6
2024.05.14	00:00:02.555	0.97999	0.97999			6
2024.05.14	00:00:02.620	0.97992	0.97992			6
2024.05.14	00:00:22.761	0.97984	0.97984			6
2024.05.14	00:00:32.471	0.97985	0.97985			6
2024.05.14	00:00:49.835	0.97982	0.97982			6
2024.05.14	00:00:52.716	0.97984	0.97984			6
2024.05.14	00:03:05.149	0.97986	0.97986			6
2024.05.14	00:03:09.419	0.97982	0.97982			6
2024.05.14	00:03:52.223	0.97973	0.97973			6
2024.05.14	00:05:00.629	0.97976	0.97976			6
2024.05.14	00:05:00.995	0.97989	0.97989			6
2024.05.14	00:05:01.115	0.97976	0.97976			6
2024.05.14	00:06:31.817	0.97980	0.97980			6
2024.05.14	00:06:50.253	0.97976	0.97976			6
2024.05.14	00:06:50.373	0.97983	0.97983			6
2024.05.14	00:07:44.300	0.97981	0.97981			6
2024.05.14	00:08:07.740	0.97976	0.97976			6
2024.05.14	00:08:10.324	0.97979	0.97979			6
2024.05.14	00:08:44.283	0.97978	0.97978			6
2024.05.14	00:08:50.318	0.97976	0.97976			6
2024.05.14	00:08:50.378	0.97978	0.97978			6
2024.05.14	00:08:56.604	0.97980	0.97980			6
2024.05.14	00:09:00.083	0.97979	0.97979			6
2024.05.14	00:09:01.691	0.97981	0.97981			6
2024.05.14	00:09:04.169	0.97982	0.97982			6
2024.05.14	00:09:05.052	0.97981	0.97981			6
2024.05.14	00:09:06.124	0.97979	0.97979			6
2024.05.14	00:09:07.077	0.97974	0.97974			6
2024.05.14	00:09:20.056	0.97975	0.97975			6
2024.05.14	00:09:22.288	0.97978	0.97978			6
2024.05.14	00:09:26.071	0.97976	0.97976			6
2024.05.14	00:09:26.160	0.97978	0.97978			6
2024.05.14	00:09:27.110	0.97979	0.97979			6
2024.05.14	00:09:35.988	0.97978	0.97978			6
2024.05.14	00:09:37.952	0.97979	0.97979			6
2024.05.14	00:09:39.462	0.97978	0.97978			6
2024.05.14	00:09:42.975	0.97976	0.97976			6
2024.05.14	00:09:43.735	0.97975	0.97975			6
2024.05.14	00:09:53.670	0.97978	0.97978			6
2024.05.14	00:09:54.606	0.97972	0.97972			6
2024.05.14	00:10:01.276	0.97975	0.97975			6
2024.05.14	00:10:08.339	0.97972	0.97972			6
2024.05.14	00:10:12.636	0.97973	0.97973			6
2024.05.14	00:10:14.918	0.97975	0.97975			6
2024.05.14	00:10:17.883	0.97978	0.97978			6
2024.05.14	00:10:34.165	0.97981	0.97981			6
2024.05.14	00:11:02.957	0.97978	0.97978			6
2024.05.14	00:11:48.599	0.97984	0.97984			6
2024.05.14	00:11:50.664	0.97986	0.97986			6
2024.05.14	00:11:51.128	0.97983	0.97983			6
2024.05.14	00:11:54.672	0.97984	0.97984			6
2024.05.14	00:11:56.806	0.97986	0.97986			6
2024.05.14	00:11:57.392	0.97985	0.97985			6
2024.05.14	00:12:00.105	0.97984	0.97984			6
2024.05.14	00:12:05.113	0.97985	0.97985			6
2024.05.14	00:12:06.823	0.97984	0.97984			6
2024.05.14	00:12:18.089	0.97986	0.97986			6
2024.05.14	00:12:49.152	0.97985	0.97985			6
2024.05.14	00:12:50.351	0.97986	0.97986			6
2024.05.14	00:13:27.808	0.97988	0.97988			6
2024.05.14	00:13:31.359	0.97987	0.97987			6
2024.05.14	00:13:32.083	0.97988	0.97988			6
2024.05.14	00:13:48.581	0.97974	0.97974			6
2024.05.14	00:13:48.611	0.97971	0.97971			6
2024.05.14	00:14:26.459	0.97978	0.97978			6
2024.05.14	00:14:28.163	0.97969	0.97969			6
2024.05.14	00:14:30.429	0.97978	0.97978			6
2024.05.14	00:14:30.460	0.97971	0.97971			6
2024.05.14	00:14:30.489	0.97978	0.97978			6
2024.05.14	00:14:30.981	0.97973	0.97973			6
2024.05.14	00:14:31.459	0.97974	0.97974			6
2024.05.14	00:14:42.681	0.97975	0.97975			6
2024.05.14	00:14:59.458	0.97972	0.97972			6
2024.05.14	00:15:09.682	0.97976	0.97976			6
2024.05.14	00:15:22.952	0.97979	0.97979			6
2024.05.14	00:15:23.012	0.97972	0.97972			6
2024.05.14	00:15:23.042	0.97976	0.97976			6
2024.05.14	00:15:24.059	0.97974	0.97974			6
2024.05.14	00:15:36.508	0.97970	0.97970			6
2024.05.14	00:15:54.057	0.97972	0.97972			6
2024.05.14	00:15:56.169	0.97973	0.97973			6
2024.05.14	00:16:00.029	0.97971	0.97971			6
2024.05.14	00:16:01.860	0.97970	0.97970			6
2024.05.14	00:16:01.919	0.97971	0.97971			6
2024.05.14	00:16:11.456	0.97969	0.97969			6
2024.05.14	00:16:38.106	0.97966	0.97966			6
2024.05.14	00:16:41.506	0.97969	0.97969			6
2024.05.14	00:16:41.875	0.97976	0.97976			6
2024.05.14	00:16:47.187	0.97977	0.97977			6
2024.05.14	00:16:47.435	0.97976	0.97976			6
2024.05.14	00:17:07.399	0.97977	0.97977			6
2024.05.14	00:17:28.815	0.97979	0.97979			6
2024.05.14	00:17:33.607	0.97977	0.97977			6
2024.05.14	00:17:33.636	0.97971	0.97971			6
2024.05.14	00:17:33.666	0.97970	0.97970			6
2024.05.14	00:17:36.263	0.97969	0.97969			6
2024.05.14	00:17:40.143	0.97970	0.97970			6
2024.05.14	00:17:59.270	0.97971	0.97971			6
2024.05.14	00:18:00.065	0.97972	0.97972			6
2024.05.14	00:18:19.258	0.97973	0.97973			6
2024.05.14	00:18:34.628	0.97974	0.97974			6
2024.05.14	00:19:15.235	0.97973	0.97973			6
2024.05.14	00:20:03.090	0.97974	0.97974			6
2024.05.14	00:20:03.179	0.97975	0.97975			6
2024.05.14	00:20:09.354	0.97974	0.97974			6
2024.05.14	00:20:29.320	0.97975	0.97975			6
2024.05.14	00:23:03.618	0.97976	0.97976			6
2024.05.14	00:24:09.358	0.97975	0.97975			6
2024.05.14	00:25:28.554	0.97974	0.97974			6
2024.05.14	00:25:47.028	0.97975	0.97975			6
2024.05.14	00:25:47.057	0.97980	0.97980			6
2024.05.14	00:25:48.380	0.97981	0.97981			6
2024.05.14	00:25:52.608	0.97982	0.97982			6
2024.05.14	00:25:53.157	0.97981	0.97981			6
2024.05.14	00:25:56.714	0.97972	0.97972			6
2024.05.14	00:25:59.743	0.97973	0.97973			6
2024.05.14	00:26:14.466	0.97972	0.97972			6
2024.05.14	00:26:16.273	0.97974	0.97974			6
